89.172.5.200 - - [24/Feb/2008:00:00:21 +0100] "GET /burza/b/Logout.action?ciid=26 HTTP/1.1" 302
89.172.5.200 - - [24/Feb/2008:00:00:21 +0100] "GET /burza/b/Main.action HTTP/1.1" 200 1111
78.3.194.174 - - [24/Feb/2008:00:03:44 +0100] "GET / HTTP/1.1" 200 15118
78.3.194.174 - - [24/Feb/2008:00:03:44 +0100] "GET /images/java-color100.png HTTP/1.1" 200 11698
78.3.194.174 - - [24/Feb/2008:00:03:44 +0100] "GET /images/tomcat-1.png HTTP/1.1" 200 5641
78.3.194.174 - - [24/Feb/2008:00:03:44 +0100] "GET /favicon.ico HTTP/1.1" 404 988
78.3.194.174 - - [24/Feb/2008:00:04:34 +0100] "HEAD /zadaci.pdf HTTP/1.1" 200 -
78.3.194.174 - - [24/Feb/2008:00:04:35 +0100] "GET /zadaci.pdf HTTP/1.1" 200 86872
78.3.194.174 - - [24/Feb/2008:00:04:39 +0100] "GET /about.jsp?lang=hr HTTP/1.1" 200 4802
78.3.194.174 - - [24/Feb/2008:00:04:42 +0100] "GET /members.jsp?lang=hr HTTP/1.1" 200 7260
89.172.5.200 - - [24/Feb/2008:00:00:21 +0100] "GET /burza/b/Logout.action?ciid=26 HTTP/1.1" 302
89.172.5.200 - - [24/Feb/2008:00:00:21 +0100] "GET /burza/b/Main.action HTTP/1.1" 200 1111
78.3.194.174 - - [24/Feb/2008:00:03:44 +0100] "GET / HTTP/1.1" 200 15118
78.3.194.174 - - [24/Feb/2008:00:03:44 +0100] "GET /images/java-color100.png HTTP/1.1" 200 11698
78.3.194.174 - - [24/Feb/2008:00:03:44 +0100] "GET /images/tomcat-1.png HTTP/1.1" 200 5641
78.3.194.174 - - [24/Feb/2008:00:03:44 +0100] "GET /favicon.ico HTTP/1.1" 404 988
78.3.194.174 - - [24/Feb/2008:00:04:34 +0100] "HEAD /zadaci.pdf HTTP/1.1" 200 -
78.3.194.174 - - [24/Feb/2008:00:04:35 +0100] "GET /zadaci.pdf HTTP/1.1" 200 86872
78.3.194.174 - - [24/Feb/2008:00:04:39 +0100] "GET /about.jsp?lang=hr HTTP/1.1" 200 4802
78.3.194.174 - - [24/Feb/2008:00:04:42 +0100] "GET /members.jsp?lang=hr HTTP/1.1" 200 7260
